Name,Cost,Description,,
Aspear Berry,150,"Cures Freeze, Tough Poffin Ingredient. Tier 1",,
Oran Berry,150,Restores 5 Hit Points. Tier 1.,,
Persim Berry,150,Cures Confusion. Tier 1.,,
Razz Berry,150,Cool Poffin Ingredient. Tier 1.,,
Bluk Berry,150,Beauty Poffin Ingredient. Tier 1.,,
Nanab Berry,150,Cute Poffin Ingredient. Tier 1.,,
Wepear Berry,150,Smart Poffin Ingredient. Tier 1.,,
Pinap Berry,150,Tough Poffin Ingredient. Tier 1.,,
Lum Berry,250,Cures any single status ailment. Tier 2.,,
Sitrus Berry,250,Restores 15 Hit Points. Tier 2.,,
Figy Berry,250,"Spicy Treat, Cool Poffin Ingredient. Tier 2.",,
Wiki Berry,250,"Dry Treat, Beauty Poffin Ingredient. Tier 2.",,
Mago Berry,250,"Sweet Treat, Cute Poffin Ingredient. Tier 2.",,
Aguav Berry,250,"Bitter Treat, Smart Poffin Ingredient. Tier 2.",,
Iapapa Berry,250,"Sour Treat, Tough Poffin Ingredient. Tier 2.",,
Liechi Berry,250,+1 Attack CS. Tier 2.,,
Ganlon Berry,250,+1 Defense CS. Tier 2.,,
Salac Berry,250,+1 Speed CS. Tier 2.,,
Petaya Berry,250,+1 Special Attack CS. Tier 2.,,
Apicot Berry,250,+1 Special Defense CS. Tier 2.,,
Lansat Berry,250,Increases Critical Range by +1 for the remainder of the encounter. Tier 2.,,
Starf Berry,250,+2 CS to a random Stat. May be used only at 25% HP or lower. Tier 2.,,
Enigma Berry,250,User gains Temporary HP equal to 1/6th of their Max HP when hit by a Super Effective Move. Tier 2.,,
Micle Berry,250,Increases Accuracy by +1. Tier 2.,,
Jaboca Berry,250,Foe dealing Physical Damage to the user loses 1/8 of their Maximum HP. Tier 2.,,
Rowap Berry,250,Foe dealing Special Damage to the user loses 1/8 of their Maximum HP. Tier 2.,,
Cornn Berry,250,Cures Disabled condition. Tier 2.,,
Magost Berry,250,Cures Enraged condition. Tier 2.,,
Rabuta Berry,250,Cures Suppressed condition. Tier 2.,,
Nomel Berry,250,Cures Infatuated condition. Tier 2.,,
Spelon Berry,250,Cool or Beauty Poffin Ingredient. Tier 2.,,
Pamtre Berry,250,Cute or Beauty Poffin Ingredient. Tier 2.,,
Watmel Berry,250,Cute or Smart Poffin Ingredient. Tier 2.,,
Durin Berry,250,Smart or Tough Poffin Ingredient. Tier 2.,,
Belue Berry,250,Cool or Tough Poffin Ingredient. Tier 2.,,
Leppa Berry,500,Restores a Scene Move. Tier 3.,,
Pomeg Berry,500,Lowers HP stat by 1 with trainer permission. Tier 3.,,
Kelpsy Berry,500,Lowers Attack stat by 1 with trainer permission. Tier 3.,,
Qualot Berry,500,Lowers Defense stat by 1 with trainer permission. Tier 3.,,
Hondew Berry,500,Lowers Special Attack stat by 1 with trainer permission. Tier 3.,,
Grepa Berry,500,Lowers Special Defense stat by 1 with trainer permission. Tier 3.,,
Tamato Berry,500,Lowers Speed stat by 1 with trainer permission. Tier 3.,,
Occa Berry,500,Weakens foe’s super effective Fire-type move. Tier 3.,,
Passho Berry,500,Weakens foe’s super effective Water-type move. Tier 3.,,
Wacan Berry,500,Weakens foe’s super effective Electric-type move. Tier 3.,,
Rindo Berry,500,Weakens foe’s super effective Grass-type move. Tier 3.,,
Yache Berry,500,Weakens foe’s super effective Ice-type move. Tier 3.,,
Chople Berry,500,Weakens foe’s super effective Fighting-type move. Tier 3.,,
Kebia Berry,500,Weakens foe’s super effective Poison-type move. Tier 3.,,
Shuca Berry,500,Weakens foe’s super effective Ground-type move. Tier 3.,,
Coba Berry,500,Weakens foe’s super effective Flying-type move. Tier 3.,,
Payapa Berry,500,Weakens foe’s super effective Psychic-type move. Tier 3.,,
Tanga Berry,500,Weakens foe’s super effective Bug-type move. Tier 3.,,
Charti Berry,500,Weakens foe’s super effective Rock-type move. Tier 3.,,
Kasib Berry,500,Weakens foe’s super effective Ghost-type move. Tier 3.,,
Haban Berry,500,Weakens foe’s super effective Dragon-type move. Tier 3.,,
Colbur Berry,500,Weakens foe’s super effective Dark-type move. Tier 3.,,
Babiri Berry,500,Weakens foe’s super effective Steel-type move. Tier 3.,,
Chilan Berry,500,Weakens foe’s Normal-type move. Tier 3.,,
Roseli Berry,500,Weakens foe’s supereffective Fairy-type move. Tier 3.,,
Custap Berry,500,Grants the Priority keyword to any Move. May only be used at 25% HP or lower. Tier 3.,,
Kee Berry,500,+1 Defense CS. Activates as a Free Action when hit by a Physical Move. Tier 3.,,
Maranga Berry,500,+1 Special Defense CS. Activates as a Free Action when hit by a Special Move. Tier 3.,,
Red Apricorn,--,Used to make Level Balls.,,
Yellow Apricorn,--,Used to make Moon Balls.,,
Blue Apricorn,--,Used to make Lure Balls.,,
Green Apricorn,--,Used to make Friend Balls.,,
Pink Apricorn,--,Used to make Love Balls.,,
White Apricorn,--,Used to make Fast Balls.,,
Big Root,1000,HP stealing moves restore double HP. Cannot be used by Trainers.,,
Bright Powder,2000,+2 to Speed Evasion. Cannot be used by Trainers.,,
Choice Items,3000,"Choice Items are tied to a Specific Stat. While worn, the default state of the Stat is +2 Combat Stages instead of 0. However, the user is Suppressed and cannot be cured until the end of Combat, even if the item is removed. Cannot be used by Trainers.",,
Choice Band,3000,"The default state of the holder's Attack Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed. Cannot be used by Trainers.",,
