Keyword,Description
Priority,"If the user has not already acted this turn, a Move with the Priority keyword may be declared to act immediately; the user takes their full turn, ignoring initiative. This counts as their turn for the round. A priority Move may not be declared during someone else’s turn; it must be declared between turns. Priority also comes in Priority (Limited) and Priority (Advanced) varieties. The Priority (Limited) keyword is like Priority except the user may not take their full turn; they may only take the action that itself has Priority and take the
rest of their turn on their own Initiative Count. For
example, Orders are Priority (Limited), meaning the
user only uses their Standard Action and does not take a
full turn. Priority (Advanced) Moves don’t require that
the user hasn’t acted that turn; if they have, they simply
give up their turn on the following round."
Push,"The target of the attack is Pushed a specified amount of meters. Unless specified, the Push direction should be away from the user."
Reaction,"Reactions work exactly like Interrupts, except that they happen after the triggering condition is fully resolved, instead of before. Thus, the user must survive the trigger condition to be able to perform the reaction."
Recoil,"When a Move says to Recoil, total the amount of damage the target took from your attack, then multiply by the fraction paired with the Keyword Recoil. The Move’s user loses Hit Points equal to that result."
Set-up,"These are two-turn Moves which require the user to prepare in some way. On the first turn, the Set-Up Effect is used; then on the following turn the Resolution Effect occurs."
Shield,Moves with this Keyword are Interrupts that are triggered by foes’ attacks. They usually prevent the effect of attacks in some manner.
Smite,"When Moves with the Smite keyword Miss, instead of doing no damage, they deal damage as if the attack were resisted one step further. Targets dealt damage this way do not suffer any secondary effects of the Move."
Social,Moves with the Social Keyword are based on social manipulation. They cannot be Intercepted and ignore the effects of Substitute. Some Features and other effects also take advantage of this Keyword.
Sonic,Moves with the Sonic Keyword are based on sound. They ignore the effects of Substitute.
Spirit Surge,"A Move with the Spirit Surge keyword will have its Effect activate even if the Move does not hit a  target. If the Move requires a certain Accuracy Roll, the roll must still be met."
Trigger,Moves with the Trigger keyword are ONLY able to be used whenever the condition in their Effect line is met.
Vortex,"While in a Vortex, the target is Slowed, Trapped, and loses a Tick of Hit Points at the beginning of each turn. At the end of each turn, the user may roll 1d20 to end all of these effects; during the first turn, they must roll a 20 or higher to dispel the vortex. The DC is lowered by 6 each following turn, automatically wearing off on the fifth turn (20, 14, 8, 2, Dispel)"
Weather,"Moves with the Weather keyword affects an area, changing the rules of the battle. Damage can be altered and even the Effects of moves can change depending on the Weather in battle. There can only be one Weather Effect in place at a time; new Weather Effects replace old Weather Effects. Weather Conditions last 5 rounds. Note that despite their names, Weather Conditions are not usually found as natural occurrences. A bright and
sunny day does not count as Sunny Weather, nor does rain count as Rainy Weather. However, particularly severe examples of the corresponding weather can count. For example, a tropical rainstorm could count as Rainy weather"
Weight Class,"A Move with the Weight Class Keyword refers to the following.   
>Weight Class 1 0 – 25 lbs; 0 – 11 kg
>Weight Class 2 25 – 55 lbs; 11 – 25 kg
>Weight Class 3 55 – 110 lbs; 25 – 50 kg
>Weight Class 4 110 – 220 lbs; 50 – 100 kg
>Weight Class 5 220 – 440 lbs; 100 – 200 kg
>Weight Class 6 Any Pokemon heavier than 440 lbs; 200 kg
>Weight Class 7 Any Pokemon heavier than 450 lbs with the Heavy Metal Ability."
Burst ,The Move hits all legal targets surrounding the user in a radius of X.
Cardinally Adjacent,The Move hits all cardinally adjacent targets.
Close Blast X,The Move creates an X by X square adjacent to the user and hits all legal targets within.
Cone ,The Move hits all legal targets in the square immediately in front of the user and in 3m wide rows extending from that square up to X meters away.
Line ,"The Move creates a line X meters long starting from the user and hits all legal targets in that line. When used diagonally, apply the same rules as for diagonal movement."
Melee 1 Target,The Move hits one target adjacent to the user.
Ranged 1 Target,"The Move hits one target within X meters of the user. Sometimes, such Moves can hit multiple targets and are labeled as such, in which case each target must be within the requisite number of meters of the user."
Ranged Blast ,The Move creates a Y by Y square up to X meters away and hits all legal targets within.
